"Transcription","Backchannel","Pair"
"men tenk hvis hvor mye mer tid du sparer hvis du ikke trenger å sove da sparer du jo ni timer nesten eller åtte eller tolv eller det spørs (xxx)","0","41"
"det er sant","1","41"
"også ligger (xxx) bare venter på at alle jeg kjenner skal stå opp xxx","0","41"
"ja","1","41"
"men tenk så mye du kan gjøre (xxx) da kan du sitte og lese du kan gjøre andre ting eller eller kanskje du kan være superkreft og ikke bli sliten","0","41"
"ja","1","41"
"ja det liker jeg det er mye gøyere fordi at da kan man sove likevel sant hvis man vil på en måte","0","41"
"(suk)","0","41"
"ja for soving er digg ja også kan du være sånn kanskje jeg skal unne meg det ta to timer på øret","0","41"
"det kan være ganske digg","0","41"
"haha","1","41"
"en sjelden gang","0","41"
"mm","1","41"
"ok det hadde også vært fint fordi øh vi går i studie og fordi samfunnet ønsker det og hadde vært supersmart","0","41"
"mm","1","41"
"det hadde vært det hadde gjort ting mye enklere men eg vet ikke jeg tror at jeg trenger (xxx)","0","41"
"det hadde vært veldig fint","0","41"
"mm","1","41"
"ja","1","41"
"men å vært bare sånn superintelligent","0","41"
"å bar- bare vært intelligent","0","41"
"ja ja sånt eh","0","41"
"men jeg er veldig redd for å liksom skal begynne å heve meg over folk bli litt sånn narsissistisk","0","41"
"ja fordi du er enig du er for (xxx)","0","41"
"ja det trigger en del (xxx)","0","41"
"ja haha","1","41"
"jeg trodde bare (xxx) haha ja så kan det være at studiet blir kjedelig hvis vi er hvis man er superintelligent fra før","0","41"
"mm","1","41"
"for det er ikke så krevende ikke så krevende at du trenger å være veldig mye mer intelligent fra før begynne å studere medisin eller noe sånt","0","41"
"nei haha","1","41"
"haha nei","1","41"
"ja haha","1","41"
"det har jeg egentlig ikke noe særlig lyst til","0","41"
"nei","1","41"
"nei jeg tenker vi vi er fornøyd med det vi. Okay men så vi har kokt det ned til å slippe å være sliten?","0","41"
"utrolig svakt","0","41"
"veldig svakt","0","41"
"haha","0","41"
"det haha","0","41"
"men det er jo det eneste man trenger man trenger jo ikke å fly la oss være ærlig","0","41"
"mm","1","41"
"nei","1","41"
"nei","1","41"
"men det virker mer gøy for gøy så vi kan jo ha en praktisk superkreft- kraft og en helt upraktisk men chill and ja nei jeg vet ikke kan prøve å komme på flere","0","41"
"(xxx)","0","41"
"mm","1","41"
"en praktisk","0","41"
"men de er høyest oppe (xxx) også ønske at jeg kunne fikse ting (xxx) fikse ting som ikke funket","0","41"
"mm","1","41"
"ja","1","41"
"Også vært digg å kunne snakke alle språk","0","41"
"det hadde det vært det hadde vært stilig","0","41"
"og bare (klikkelyd) hola que tal (xxx) det blir jo ikke i det hele tatt det men det hadde det hadde jeg satt pris på","0","41"
"haha","0","41"
"haha","0","41"
"men hadde man på en måte da bare snakket uten å tenke over det at det er forskjellige språk for da tror jeg man mister en del hvis det bare er sånn hvis du ikke trenger å ta den oversettingsprosessen i hodet","0","41"
"mm","1","41"
"ja","1","41"
"ja kanskje det for hvis vi setter med oversettingsprosessen i hodet haha så er det greit","0","41"
"haha oversettingsprosessen i hodet","0","41"
"mm okay","0","41"
"folk bare hvordan eh hvordan xxx nei hvordan superkrefter kom dere fram? til nei nå skal du høre eh premisset for denne oversettingsgreien da er at du må haha","0","41"
"haha xxx","0","41"
"haha skikkelig dårlig","0","41"
"mm","1","41"
"eh","0","41"
"men å slippe å for eksempel være kald har jeg også lyst til altså alle de tingene som er problematisk i mitt liv de har jeg lyst til å slippe hele tiden å være kald å være varm å være å slippe å kunne forholde seg til temperatur i det hele tatt hadde vært ganske chill og det er en superkraft det andre slippe å forholde seg til å måtte sove og spise det er kanskje den samme tingen må velge mellom tre","0","41"
"haha","0","41"
"for du har ikke lyst på noe ekstra","0","41"
"haha jeg syns du ja jeg vett du hva jeg er enig superhandy men samtidig jeg føler vi vi tenker bare på ut i fra den lille konteksten vi har nå sånn der åh det hadde bare vært digg å bare sluppe det og det. Hvorfor ikke på en måte gå for å puste under vann liksom? lev som en fisk","0","41"
"xxx","0","41"
"jo som hadde vært chill men når trenger du det og så er det bare du som kan det ingen andre som kan det bare du","0","41"
"haha","0","41"
"men det er det som er så kult haha","0","41"
"det er sant men hvis du hadde slippet å spise og sove resten av livet så og være kald eller varm herregud hvor du bare hadde det bra uansett du kunne dratt på ferie hvor som helst i hele verden du trenger ikke å finne et sted å sove en gang du kan bare ligge ned på bakken det gjør ingenting du trenger ikke å spise du trenger ikke å xxx noen ting","0","41"
"mm","1","41"
"ja","1","41"
"men er ikke det litt av det eller jeg føler også at vi vi går inn i vi er på vei i feil retning hvis vi aldri skal være sliten hvis og aldri skal være kald eller varm dette her er viktige ting å utsettes for","0","41"
"xxx","0","41"
"okay så hvis xxx eh føle temperatur og bli sulten etc på kommando? nå xxx noensinne til å være sånn xxx sulten jeg skal være sykt sulten xxx","0","41"
"nei","0","41"
"men xxx viktige xxx spekteret i livet jeg gleder meg til de skal se filmen her på nytt og sånn her det her var ikke det vi ville dere skulle si","0","41"
"(suk)","0","41"
"haha og slo ut så fatalt dårlig å fuck","0","41"
"okay men eh okay men vi skulle jo bli enig eh","0","41"
"det står jo det okay vær så god xxx","0","41"
"mm","0","41"
"men så kanskje kanskje vi idag kunne ha tatt en hver? Hvilken vil du ta av dine to praktiske? haha jo","0","41"
"greit","0","41"
"tror ikke det er det det egentlig er å være enig men greit jeg velger i så fall at jeg aldri vil bli for jeg blir liksom aldri kald og varm men jeg eh trenger disse superkreftene mye mer når jeg for eksempel skal bo i et veldig fattig lang et sted veldig lenge helt hypotetisk selvfølgelig sånn India etc men før det og så har jeg jeg er såpass velstående fordi jeg er fra Norge så det gjør liksom ingenting jeg kan jo jeg har altfor mye penger i India uansett hadde jeg sluppet å jobbe på forhånd dette er liksom","0","41"
"haha","0","41"
"mm","1","41"
"mm","1","41"
"xxx åja haha jeg går for det med språk eh ja tenk det kunne interagere med alle xxx verdens eh","0","41"
"du går for det med språk da?","0","41"
"men pleier du å ha problemer med å interagere med folk?","0","41"
"eh ikke i Norge men liksom hvis du skal til et land et helt tilfeldig land i Midtøsten eller i Sør-Amerika eller i ja altså sånn det hadde vært så fint å bare kunne glidd inn eller snakket med lokalbefolkningen eh tenker jeg","0","41"
"jeg føler at det ikke er så stress å ja bare lære seg arabisk da eller altså det vil jo åpenbart xxx stress jeg kan ikke men xxx","0","41"
"haha det er stress å være litt kald og varm men det å lære seg arabisk det er ikke noe big deal","0","41"
"la oss være ærlig det hadde gått så fint det er bare å prøve veldig hardt eh også hadde jo sikkert øvd litt du lærer noen fraser før du går ned dit også xxx og da kan du på en måte si sånn hei hvordan går det med deg skal vi møtes ja haha","0","41"
"ja men nei","0","41"
"også svarer dem med ett eller annet og så sier jeg sånn det står ikke i Lonely Planet sin eh fraserbook eh","0","41"
"eh nei men vet du hva da jeg tviholder på det med språk altså jeg nekter å gi meg ja du kan få xxx","0","41"
"ja eh deg om det eh jeg mener at det ikke hadde vært en utfordring i det hele tatt så det er bare å lære seg","0","41"
"haha okay korttenkt vet du hva hvis dette her går i oppfyllelse kommer du til å angre så sykt på det du har xxx","0","41"
"ah okay","0","41"
"det er sant haha jeg kommer til å angre så enormt","0","41"
"Men når skal du bruke det i hverdagen da? du kan jo bare altså i hverdagen ikke i hverdagen i når du drar til et land i Midtøsten eller noe tilsvarende for da kan du bare briefe med det så blir det sånn å hun kan snakke alle språk i verden og det er sånn ingen som bryr seg men","0","41"
"ja men se for deg at jeg skal søke på en jobb nå da også skal jeg på asylmottaket for eksempel og snakke med dem på lørdag og da kan de være sånn ja du snakker farsi ja nanana også bare åja fordi du snakker arabisk ja for dere skal gjøre det og dere skal gjøre det og jo og hadde vært så digg og alle jobber du skal søke på så kan du bare sånn ja skal vi se huke av på fransk spansk arabisk","0","41"
"xxx haha","0","41"
"xxx, jeg holdt på å besvime når vi skulle fikse det. Så det var ganske heftig","0","41"
"oi","1","41"
"(sukk) mm","0","41"
"men eh, hvor trykker man videre?","0","41"
"one of the action icons with mouse","0","41"
"where are the action icons?","0","41"
"det var mange hakk høyere enn jeg trodde det skulle vært","0","41"
"ja, jeg er enig, men","1","41"
"xxx","0","41"
"mm","0","41"
"a- action icons with mouse","0","41"
"ja, jeg skjønner ikke heller, skal jeg prøve og liksom esc-e den, men da er jeg redd for at vi går ut av greia","0","41"
"skal jeg gå og spørre Erik?","0","41"
"jeg skjønner ikke","0","41"
"nei, jeg går og spør, jeg","1","41"
"eh ja ok, da skulle jeg til å spørre, men det er greit","1","41"
"haha","1","41"
"hva?","0","41"
"bra innsats","0","41"
"ja, haha","1","41"
"(kremt)","0","41"
"we just couldn't find the","0","41"
"we just don't know where to click","0","41"
"ok, haha","0","41"
"yes","0","41"
"ok, så et hjerte er ignore","0","41"
"(sukk)","0","41"
"jeg er redd for at det her skal teste sånn hvor menneskelige vi, eller hvor umenneskelige vi er, haha","0","41"
"mm, haha","1","41"
"xxx i det hele tatt","0","41"
"mm","1","41"
"ok, klar?","0","41"
"ja","1","41"
"fordi de dette er bare symbolet? greit","0","41"
"ja","1","41"
"greit","1","41"
"greit, greit","1","41"
"(sukk), mm","0","41"
"oi","0","41"
"ok","0","41"
"if it's successful, you gain hundred points","0","41"
"hvorfor får man hundre og ikke bare for eksempel ett poeng?","0","41"
"oi, og du taper hundre og, ok","0","41"
"oi","1","41"
"no time limit, greit","0","41"
"det var good, haha","1","41"
"eh","0","41"
"oi, det gikk fort","0","41"
"den så eh s- sterk ut, så den er sikkert farlig, men den så snill ut også. Men det kan være at xxx, vil åpenbart prøve og lure oss da, for hvis de har sikkert studert menneskerasen i lang tid tenkt over. Vet ikke, smil da, så kan det være at de ikke tar livet av oss","0","41"
"ja","1","41"
"haha","1","41"
"ja","1","41"
"ja","1","41"
"for generelt, altså den her er jo litt sånn aggressiv","0","41"
"mm","1","41"
"smått aggressiv","0","41"
"ja","1","41"
"men kunne vi tappet den og så drept den da eventuelt?","0","41"
"og","0","41"
"eh ja, er ikk- ikke det safe uansett?","1","41"
"kanskje du må gjøre det med alle","0","41"
"men vi gjør det, haha, skal vi gå for den første?","0","41"
"gå f- gå for den","1","41"
"play it safe","1","41"
"nei","0","41"
"nutritious alien, ok greit xxx","0","41"
"men vi tappet jo og","0","41"
"ok, denne ser fremdeles nutritious ut","0","41"
"ok","0","41"
"skal vi prøve denne da?","0","41"
"den er blå","0","41"
"ja, prøv og tap han","1","41"
"ok","0","41"
"ok","0","41"
"xxx","0","41"
"null, phew","0","41"
"sterkt","1","41"
"fint","0","41"
"den er grønn og har prikker. Det er det sikkert en grunn til, den er sikkert","0","41"
"haha","1","41"
"haha, er ikke den også lur å tappe, eller er det lurt å droppe den?","0","41"
"jeg eh tror vel begge deler","0","41"
"den?","0","41"
"mm","1","41"
"ok","1","41"
"(kremt)","0","41"
"nei","0","41"
"nei, haha","0","41"
"tap på den og","0","41"
"den var grei, den var ikke sterk","0","41"
"ja, den, den er snill","1","41"
"skal vi ingnore den?","0","41"
"ignore","0","41"
"ja så t- s- trykk på hjertet","0","41"
"ja ok","0","41"
"jada","0","41"
"(sukk) xxx haha","0","41"
"xxx haha","0","41"
"oi","0","41"
"oi, skummel, skummel","0","41"
"men","0","41"
"og, tap","0","41"
"ja","1","41"
"den?","0","41"
"mm","1","41"
"nei, hva? haha","0","41"
"nei","0","41"
"haha","1","41"
"han så jo ond ut","0","41"
"den så snill ut","0","41"
"ja","1","41"
"ignore?","0","41"
"ignore, ignore","0","41"
"ok, haha","0","41"
"ok greit, haha","0","41"
"sånn system","0","41"
"haha, ok, men her nå, bare tap?","0","41"
"var det den vi skulle tappe eh i sted? for den er helt lik","0","41"
"ja, jeg tror det","1","41"
"ja","1","41"
"ok","0","41"
"jada","0","41"
"woho","1","41"
"ok greit, på plussiden","0","41"
"mm","1","41"
"det er sterkt","0","41"
"igjen?","0","41"
"den har eh, prikker, hadde den andre som skulle i- dø i sted prikker?","0","41"
"jeg tror det","1","41"
"skulle han dø i sted? eh har vi hatt noen som skulle dø? nei","0","41"
"vi skulle bar- nei, vi skulle bare tappe","0","41"
"shit, ja","1","41"
"jeg lurer på hvem som skal dø, skal vi bare tappe en gang til da?","0","41"
"jeg og","1","41"
"prøv, prøv og tap","1","41"
"nei","0","41"
"nei","0","41"
"ok, prikker eh velger jeg å gå for, og kanskje det","0","41"
"mm, enig","1","41"
"(sukk), var det den vi kunne ignore?","0","41"
"ja, jeg tror det, for det var det","1","41"
"og så ikke prikker, ok","0","41"
"jada","0","41"
"svak, sint og blå","0","41"
"svak, sint, blå, haha","0","41"
"haha","0","41"
"svak først og fremst","0","41"
"jeg, da blir det nesten sånn: har vi sett det før? er det noe, skal dere drepe da eller? fordi det er ikke noe vits å tappe den? men den er litt aggressiv, så den bør dø","0","41"
"mm","1","41"
"sant","1","41"
"ok, kjør på","0","41"
"prøv på drap? se?","0","41"
"nei","0","41"
"it is friendly alien, haha, den så ikke friendly ut i det hele tatt, haha","0","41"
"haha","1","41"
"ok, tap?","0","41"
"den tapper vi","0","41"
"ikke kill fordi no spots","0","41"
"ok, gode ting","1","41"
"(sukk)","0","41"
"å, den må dø","0","41"
"eh ja","1","41"
"eh","0","41"
"bare dø?","0","41"
"eh fordi den hadde jo, den var ikke sterk","0","41"
"ja, ja","1","41"
"yes","0","41"
"jada","0","41"
"du har skjønt det med prikkene altså","0","41"
"oi, prikker","0","41"
"men den så jo snill ut, så nå må den","0","41"
"mm","1","41"
"ignore? men samtidig, tror du ikke prikkene kan være noe sånn typ sykdom? haha","0","41"
"jo, haha, det kan være type sykdom, det er jo ikke hans skyld sikkert","1","41"
"haha","1","41"
"nei, det er jo kjempeumenneskelig å drepe han fordi han har en, en sykdom. Det gjør vi jo ikke lenger, men eh","0","41"
"mm","1","41"
"eh","0","41"
"dø eller ignore?","0","41"
"(sukk), ja, men han ser farlig ut, det er noe mer","0","41"
"vi prøver på dø","0","41"
"haha","1","41"
"haha eller ikke?","1","41"
"nei, damn it, (sukk)","0","41"
"nei, haha, ikke gjør det","1","41"
"ok, eh, den her, tap? og xxx?","0","41"
"ja","1","41"
"ba-, b-, ja, tap tap xxx","0","41"
"nice, tap tap, haha, (sukk)","0","41"
"tapped xxx, haha","0","41"
"ignore?","0","41"
"ja, den er veldig sant","1","41"
"jada","0","41"
"yes","1","41"
"ok, så det er, jeg klarer ikke helt å sette fingeren på det, den må dø","0","41"
"eh ja, det s- jeg klarer ikke sette fingeren på, den må dø haha","0","41"
"den må, nei haha, den må dø","1","41"
"yes, haha, woho, me- haha","0","41"
"jada","1","41"
"men det er så enkelt når man kan det","0","41"
"eh oi, tap and die?","0","41"
"tap, tap and die","0","41"
"yes","0","41"
"what, why?","1","41"
"nå begynner vi å bli gode","0","41"
"eh, kunne man få en max-score eller noe sånt?","0","41"
"haha, glemte å spørre, men det må jo være, men den er død eller? for det var prikker men ikke noe skills","0","41"
"haha","1","41"
"ja","1","41"
"ingen s- nei, hvorfor er han friendly? det gir ingen mening","0","41"
"(sukk)","0","41"
"fordi, men t- kan det ha noe med armene eller øynene eller et eller annet å gjøre? for vi har ikke jo skjønt helt når vi skal ignore, men den","0","41"
"ja","1","41"
"kanskje armene er en eh","0","41"
"eh sånn ting som gjør at man blir, en avledningsmanøver, et eller annet","0","41"
"eller også farge, det sk- går jo også an, og hvis den er blå og","0","41"
"mm","1","41"
"ja, kombinasjonen med de?","0","41"
"mm","1","41"
"mm","0","41"
"ok, men den her var sterk og hadde prikker?","0","41"
"mm, eh ja","1","41"
"nei","0","41"
"hva?","1","41"
"nei","0","41"
"tapped, men ikke drept","0","41"
"men den har onde øyne, men den er sikkert grei","0","41"
"og den er, var veldig sterk","0","41"
"mm","1","41"
"ja, nice","0","41"
"yes","0","41"
"oi, den er jo identisk, bare som har prikker i tillegg, sant?","0","41"
"ja","1","41"
"så da må vi gjøre begge deler, eller?","0","41"
"eh, jeg aner ikke, for jeg, jeg tenker litt tap og dø, men","0","41"
"xxx","0","41"
"haha","1","41"
"men haha, samtidig så, jeg har ikke skjønt helt eh mønsteret på det med når vi skal ignore og når vi skal tappe alltid","0","41"
"mm","1","41"
"jeg og sliter med det","1","41"
"mm","1","41"
"ok, skal vi prøve den og så bare se?","0","41"
"mm","1","41"
"jada","0","41"
"ok, bra","0","41"
"men nå er jeg eh, nå er ignore det eneste jeg ikke har kontroll på","0","41"
"mm","1","41"
"den så farlig ut, på generell basis","0","41"
"die","0","41"
"og noe skills","0","41"
"ja k-","1","41"
"(sukk)","0","41"
"ok","0","41"
"bare tap? hva tenker du om det?","0","41"
"j-, har prikker, og så er den grønn, og så har han snille øyne, og så eh","0","41"
"mm","1","41"
"haha","1","41"
"det er så mange ting, haha, på listen","0","41"
"haha grønn og så snille øyne, og haha","0","41"
"haha","1","41"
"(sukk)","0","41"
"la oss være ærlig","0","41"
"ja, for vi kan jo prøve og bare tappe og så p- prøve å finne, for det blir jo vel et unntak fra prikkeregelen vi har lagd da","0","41"
"mm","1","41"
"skal vi prøve og tappe bare for å se?","0","41"
"jeg tipp- jeg tipper hele prikkeregelen er en avledning","0","41"
"ja, haha","1","41"
"eh ja, kjør, trykk da","1","41"
"yes, haha, ok, så grønn med prikker. Ok, den her, det bare tapping og kanskje","0","41"
"ja, haha, er dette greit egentlig?","0","41"
"eh ja, det støtter jeg","1","41"
"k- yes, uproblematisk","0","41"
"ignore?","0","41"
"eh, ja","1","41"
"nei, jo","1","41"
"åh","0","41"
"sorry, jeg tok det selv om du sa nei, haha","0","41"
"det går, ja ja, haha","1","41"
"jeg sa først og fremst ja, s- så stol stol på magefølelsen","0","41"
"eh","0","41"
"mm","1","41"
"men der, prikker, sinte øyne, sterk. Jeg tenker tappe den der, men","0","41"
"mm","1","41"
"jeg og tenker det","1","41"
"ja","1","41"
"da herregud går vi for det","0","41"
"og så er den f- nei, den var blå, det gjelder ikke","0","41"
"ja","1","41"
"yes","0","41"
"åh, yes","0","41"
"ja, fordi jeg føler det er en eller annen sånn abnormalitet der vi ikke eh fanger opp. Bare syk","0","41"
"bare syk?","0","41"
"eller med prikker","0","41"
"ja ok, haha","1","41"
"jeg har gjort det til en sånn type pest haha, i mitt hode, for å legitimere drapet","0","41"
"haha, hva vet vi","1","41"
"kanskje det er en annen alienrase","0","41"
"mm","1","41"
"eh","0","41"
"jeg tenker bare død, det er sånn grønn, prikker, men samtidig, det er så kjipt hvis man skal ignore det da","0","41"
"mm","1","41"
"ja, eh, og det kan jo godt være","1","41"
"skal vi prøve å bare ignore bare for å se, eller?","0","41"
"ja, vi ser hva som skjer, vi ser hva som skjer","1","41"
"ja","0","41"
"ja, what, ok","0","41"
"wow, ok","0","41"
"nå har de det også på video, så de vet at vi bare gjetter villt, haha hele veien","0","41"
"haha","1","41"
"men vi prøver hardt å lage et system da, haha","0","41"
"haha","1","41"
"ok, den hadde ingen skills, så tap i hvert fall","0","41"
"eh","0","41"
"men den hadde ikke, den så ikke så farlig ut, kanskje vi bare skal ignore den og?","0","41"
"den så ikke så farlig ut","0","41"
"mm, skal vi se, den var grønn, og så had- han hadde ikke prikker.","0","41"
"nei","1","41"
"ok, vi prøver ignore","0","41"
"jada","0","41"
"(sukk)","0","41"
"det er mye riktig","0","41"
"mm","1","41"
"mm, bare tap?","0","41"
"skummel, men ingen prikker, bare tap","0","41"
"yes","0","41"
"mm","0","41"
"ignore?","0","41"
"ja","1","41"
"(sukk)","0","41"
"ok greit, så farger har ikke så mye å si, eller er det en kombinasjon av ting?","0","41"
"eh, haha","1","41"
"oi, øynene, eh, k- også ignore?","0","41"
"ja","1","41"
"kan man fremdeles ignore den, eller?","0","41"
"ja, vi gjør det for å se om den eh","1","41"
"ja, ja","1","41"
"taktisk","1","41"
"ok","0","41"
"ok, så ingenting med noen ting å gjøre","0","41"
"ingenting, nei","0","41"
"øyne og prikker og grønn. Die? haha","0","41"
"die, haha, die","0","41"
"ah","0","41"
"ok, dette er for sykt","0","41"
"ah","1","41"
"tenk at det plutselig ble så lett","0","41"
"oi, haha, eh","0","41"
"gugge i øynene, skal han også dø? og tappes, eller?","0","41"
"ja, eller bare tappes. Men han har jo prikker","1","41"
"(sukk)","0","41"
"mm","1","41"
"mm haha","0","41"
"haha, tenke, haha","0","41"
"ja, men jeg vet ikke altså","0","41"
"jeg eh tror","0","41"
"jeg tror han skal dø selv om han har snille eh øyne","0","41"
"ok, så tap på den?","1","41"
"eh jeg tror","0","41"
"ja","1","41"
"nei","0","41"
"(sukk)","1","41"
"nei, haha de snille øynene","0","41"
"pri- haha","1","41"
"haha","1","41"
"kanskje prikke-, prikker med snille øyne ikke er så ille. Oi jeg glemte hvordan den så ut, den var sterk?","0","41"
"eh, den hadde","0","41"
"eh ja","1","41"
"og han skal bare tappes tror jeg","0","41"
"ikke prikker?","0","41"
"ja","1","41"
"nice","0","41"
"ignore","0","41"
"ja, hun er sikkert snill","1","41"
"så det er liksom en sammenheng mellom hvordan de ser ut, at hun ser snill ut og at hun er snill","0","41"
"ja","1","41"
"jeg hadde tenkt de skulle prøvd og lure oss","0","41"
"mm, haha ja","1","41"
"lu- lureri","0","41"
"prikk, men ikke så farlig","0","41"
"mm","1","41"
"der?","0","41"
"mm","1","41"
"haha","1","41"
"haha, jeg tro-, jeg tror hun må dø, selv om hun ikke er så farlig","0","41"
"ja","1","41"
"nei, haha","0","41"
"nei","0","41"
"hvorfor det? blå prikker altså sånn, her er den jo sterk","0","41"
"haha","1","41"
"ok, livsfarlig","0","41"
"nå ja","1","41"
"tap and die","0","41"
"mm","1","41"
"men jeg skjønner fortsatt ikke helt når vi skal ignorere den da. Tap","0","41"
"tenker jeg","0","41"
"ja, kun tap","1","41"
"hvor mange spørsmål var det? nittiseks?","0","41"
"(sukk)","1","41"
"mm haha","1","41"
"noen timer nå, eh","0","41"
"ignore fordi den var så utrolig eh svak?","0","41"
"ja, prøv det ut","1","41"
"ok, gode ting","0","41"
"yes","0","41"
"(sukk) haha","0","41"
"han må dø, sant?","0","41"
"ja, fordi han har jo prikker og sinte øyne","0","41"
"han har opp til flere","0","41"
"mm","1","41"
"og da er det det man gjør med dem, tar livet av dem","0","41"
"føler bare at vi har tatt feil på det før, men, nei, yes","0","41"
"men det var en følelse","0","41"
"wow","0","41"
"oi, det gikk jo kjempefort","1","41"
"mm","1","41"
"sykt gode til","0","41"
"mm","1","41"
"skal vi gå og si ifra da?","0","41"
"ja","1","41"
"nei, tar ansvar. Thank you very much, enjoyed playing","0","41"
"haha","1","41"
"for øynene, forklare hvor du skal gå og greier. Det er så gøy","0","41"
"men eh","0","41"
"shit, så du eh har litt trening i dette du","0","41"
"rett og slett, varmet opp litt i går, men det var ikke så sent som det her da","0","41"
"greit","1","41"
"you should draw the route on the routeless map, skal vi si, eh","0","41"
"kan du snu skjermen litt sånn at jeg ikke ser på den","0","41"
"ja","1","41"
"nice, nice, nice, nice","1","41"
"(kremt)","0","41"
"press ent eh, xxx, jepp","0","41"
"oi","0","41"
"ok","0","41"
"ok","0","41"
"ok","0","41"
"så eh","0","41"
"hvor begynner vi?","0","41"
"d- ser du kamera-sjappen?","0","41"
"ja, nede til venstre der, der det står start","1","41"
"mm","1","41"
"i- rett over det, en sånn centimeter over det, så starter x-en","0","41"
"mm, x-en har jeg, start x","1","41"
"og så går den","0","41"
"jepp, perfekt","1","41"
"og så går den jo da eh ned, og så på siden av kamera-sjappen, altså ned til venstre","0","41"
"greit, på ja","1","41"
"mm, så helt inn i den smale passasjen der","0","41"
"så mellom alotments","0","41"
"mm","1","41"
"ja","1","41"
"gjennom passasjen?","0","41"
"ja","1","41"
"og så går den ned, og så går den i en fin sånn sving rundt den parkerte bilen","0","41"
"j- ja, så på venstre siden av den parked van?","0","41"
"ved the parked van","0","41"
"ja","1","41"
"mm","1","41"
"og så går den","0","41"
"skal jeg tegne hele veien kanskje? i stedet for å vente?","0","41"
"ja, du bare gjør det","1","41"
"må jeg trykke nå? eller skal jeg bare holde inne?","0","41"
"ja, bare begynn du, tenker jeg","1","41"
"greit","1","41"
"og så forklarer jeg hvor du skal dra den hen sikkert","0","41"
"sånn, ok på venstre siden av parked van","0","41"
"ja, og så opp, og så opp på høyre sida, så du skal liksom","0","41"
"opp på høyre siden av?","0","41"
